feedback_id,user_id,booking_id,rating,comment,created_at
FDB-0001,LSV-0396,BKG-002880,5,Very clean and quiet.,2026-02-06 07:28:00
FDB-0002,LSV-0420,BKG-004044,5,Excellent space.,2026-02-14 04:30:00
FDB-0003,LSV-0351,BKG-000301,5,Great setup and amenities.,2026-01-20 22:05:00
FDB-0004,LSV-0137,BKG-001255,3,Could be better maintained.,2026-01-27 02:09:00
FDB-0005,LSV-0433,BKG-002185,4,Minor issues but fine.,2026-02-03 10:17:00
FDB-0006,LSV-0379,BKG-003951,4,Good overall.,2026-02-12 21:34:00
FDB-0007,LSV-0304,BKG-002882,4,Good overall.,2026-02-07 05:09:00
FDB-0008,LSV-0386,BKG-004600,3,Average experience.,2026-02-16 16:12:00
FDB-0009,LSV-0377,BKG-002818,4,Worked well for our session.,2026-02-05 22:36:00
FDB-0010,LSV-0445,BKG-007022,3,It was okay.,2026-02-15 18:59:00
FDB-0011,LSV-0127,BKG-004099,4,Worked well for our session.,2026-02-14 22:44:00
FDB-0012,LSV-0253,BKG-001251,5,Excellent space.,2026-01-27 11:28:00
FDB-0013,LSV-0052,BKG-001991,4,Good overall.,2026-01-31 23:25:00
FDB-0014,LSV-0121,BKG-000715,5,Excellent space.,2026-01-22 11:46:00
FDB-0015,LSV-0076,BKG-000998,4,Worked well for our session.,2026-01-24 11:06:00
FDB-0016,LSV-0292,BKG-000669,1,Poor experience.,2026-01-23 09:27:00
FDB-0017,LSV-0260,BKG-002483,3,Average experience.,2026-02-04 17:15:00
FDB-0018,LSV-0447,BKG-003584,4,Minor issues but fine.,2026-02-11 21:59:00
FDB-0019,LSV-0286,BKG-003108,4,Minor issues but fine.,2026-02-07 14:07:00
FDB-0020,LSV-0225,BKG-002504,2,Not very comfortable.,2026-02-04 17:00:00
FDB-0021,LSV-0372,BKG-007287,4,Minor issues but fine.,2026-02-08 01:09:00
FDB-0022,LSV-0090,BKG-002823,5,Very clean and quiet.,2026-02-06 01:19:00
FDB-0023,LSV-0397,BKG-002524,5,Great setup and amenities.,2026-02-04 02:38:00
FDB-0024,LSV-0121,BKG-003601,5,Great setup and amenities.,2026-02-11 03:57:00
FDB-0025,LSV-0276,BKG-001565,4,Good overall.,2026-01-29 09:10:00
FDB-0026,LSV-0200,BKG-000877,3,Average experience.,2026-01-24 14:17:00
FDB-0027,LSV-0259,BKG-002729,4,Minor issues but fine.,2026-02-05 01:24:00
FDB-0028,LSV-0072,BKG-003344,5,Great setup and amenities.,2026-02-08 13:01:00
FDB-0029,LSV-0220,BKG-003551,4,Good overall.,2026-02-11 01:44:00
FDB-0030,LSV-0352,BKG-004094,5,Very clean and quiet.,2026-02-15 05:08:00
FDB-0031,LSV-0257,BKG-000021,3,Could be better maintained.,2026-01-20 03:31:00
FDB-0032,LSV-0430,BKG-001964,4,Worked well for our session.,2026-01-30 22:21:00
FDB-0033,LSV-0437,BKG-003361,5,Great setup and amenities.,2026-02-09 23:43:00
FDB-0034,LSV-0437,BKG-001196,5,Great setup and amenities.,2026-01-26 03:48:00
FDB-0035,LSV-0265,BKG-001284,4,Worked well for our session.,2026-01-27 19:25:00
FDB-0036,LSV-0274,BKG-001305,5,Excellent space.,2026-01-27 16:19:00
FDB-0037,LSV-0212,BKG-001861,5,Great setup and amenities.,2026-01-30 20:55:00
FDB-0038,LSV-0159,BKG-007157,5,Very clean and quiet.,2026-02-02 00:08:00
FDB-0039,LSV-0349,BKG-004527,5,Excellent space.,2026-02-16 12:44:00
FDB-0040,LSV-0142,BKG-001071,3,Could be better maintained.,2026-01-24 17:06:00
FDB-0041,LSV-0405,BKG-002850,3,It was okay.,2026-02-06 03:20:00
FDB-0042,LSV-0287,BKG-004525,3,It was okay.,2026-02-16 21:52:00
FDB-0043,LSV-0292,BKG-000230,5,Excellent space.,2026-01-20 06:29:00
FDB-0044,LSV-0427,BKG-000538,5,Excellent space.,2026-01-21 13:50:00
FDB-0045,LSV-0181,BKG-000472,5,Very clean and quiet.,2026-01-22 19:05:00
FDB-0046,LSV-0166,BKG-007193,5,Excellent space.,2026-02-09 17:40:00
FDB-0047,LSV-0326,BKG-002200,4,Minor issues but fine.,2026-02-02 21:37:00
FDB-0048,LSV-0306,BKG-000711,5,Great setup and amenities.,2026-01-23 16:39:00
FDB-0049,LSV-0358,BKG-006985,5,Great setup and amenities.,2026-02-09 05:22:00
FDB-0050,LSV-0036,BKG-001791,3,Could be better maintained.,2026-01-30 21:49:00
FDB-0051,LSV-0222,BKG-002382,3,Average experience.,2026-02-02 22:52:00
FDB-0052,LSV-0218,BKG-002182,5,Excellent space.,2026-02-02 19:45:00
FDB-0053,LSV-0048,BKG-003331,3,Could be better maintained.,2026-02-09 08:27:00
FDB-0054,LSV-0298,BKG-000533,5,Very clean and quiet.,2026-01-21 09:41:00
FDB-0055,LSV-0203,BKG-003426,5,Great setup and amenities.,2026-02-10 03:04:00
FDB-0056,LSV-0275,BKG-000852,3,Average experience.,2026-01-24 08:58:00
FDB-0057,LSV-0376,BKG-002522,3,It was okay.,2026-02-04 03:03:00
FDB-0058,LSV-0219,BKG-000463,1,Poor experience.,2026-01-21 18:37:00
FDB-0059,LSV-0444,BKG-001711,1,Poor experience.,2026-01-29 18:50:00
FDB-0060,LSV-0307,BKG-003541,4,Worked well for our session.,2026-02-10 11:45:00
FDB-0061,LSV-0164,BKG-002747,4,Good overall.,2026-02-05 16:19:00
FDB-0062,LSV-0297,BKG-003078,5,Excellent space.,2026-02-06 17:55:00
FDB-0063,LSV-0415,BKG-001659,4,Good overall.,2026-01-30 01:18:00
FDB-0064,LSV-0358,BKG-003123,3,Could be better maintained.,2026-02-08 06:16:00
FDB-0065,LSV-0403,BKG-001873,5,Excellent space.,2026-01-30 22:17:00
FDB-0066,LSV-0075,BKG-001535,5,Excellent space.,2026-01-28 17:30:00
